"@timestamp","@version","@version.keyword","_id","_index","_score","agent.ephemeral_id","agent.ephemeral_id.keyword","agent.id","agent.id.keyword","agent.name","agent.name.keyword","agent.type","agent.type.keyword","agent.version","agent.version.keyword","ecs.version","ecs.version.keyword","event.category","event.category.keyword","event.created","event.dataset","event.dataset.keyword","event.ingested","event.kind","event.kind.keyword","event.module","event.module.keyword","event.original","event.original.keyword","event.outcome","event.outcome.keyword","fileset.name","fileset.name.keyword","host.name","host.name.keyword","http.request.method","http.request.method.keyword","http.request.referrer","http.request.referrer.keyword","http.response.body.bytes","http.response.status_code","http.version","http.version.keyword","input.type","input.type.keyword","log.file.path","log.file.path.keyword","log.offset","service.type","service.type.keyword","source.address","source.address.keyword","source.ip","source.ip.keyword",tags,"tags.keyword","url.extension","url.extension.keyword","url.original","url.original.keyword","url.path","url.path.keyword","user.name","user.name.keyword","user_agent.device.name","user_agent.device.name.keyword","user_agent.name","user_agent.name.keyword","user_agent.original","user_agent.original.keyword","user_agent.os.full","user_agent.os.full.keyword","user_agent.os.name","user_agent.os.name.keyword","user_agent.os.version","user_agent.os.version.keyword","user_agent.version","user_agent.version.keyword"
"Oct 25, 2022 @ 04:26:22.000",1,1,GNrkDoQBvD32VbPe6mkR,"filebeat-8.4.3","-","649c9a49-e1ea-4533-ad46-e8c056c62ca2","649c9a49-e1ea-4533-ad46-e8c056c62ca2","39c39d82-96c8-4ed9-acdf-cfeed4e61a70","39c39d82-96c8-4ed9-acdf-cfeed4e61a70",08316ebfe2f5,08316ebfe2f5,filebeat,filebeat,"8.4.3","8.4.3","1.12.0","1.12.0",web,web,"Oct 25, 2022 @ 04:26:31.408","apache.access","apache.access","Oct 25, 2022 @ 04:26:34.000",event,event,apache,apache,"192.168.170.20 - employee [25/Oct/2022:11:26:22 +0000] ""GET /employee/downloads/backup.exe HTTP/1.1"" 200 7230669 ""-"" ""curl/7.55.1""","192.168.170.20 - employee [25/Oct/2022:11:26:22 +0000] ""GET /employee/downloads/backup.exe HTTP/1.1"" 200 7230669 ""-"" ""curl/7.55.1""",success,success,access,access,08316ebfe2f5,08316ebfe2f5,GET,GET,"-","-","6.9MB",200,"1.1","1.1",log,log,"/usr/local/apache2/logs/access.log","/usr/local/apache2/logs/access.log","2,893",apache,apache,"192.168.170.20","192.168.170.20","192.168.170.20","192.168.170.20","beats, beats_input_codec_plain_applied","beats, beats_input_codec_plain_applied",exe,exe,"/employee/downloads/backup.exe","/employee/downloads/backup.exe","/employee/downloads/backup.exe","/employee/downloads/backup.exe",employee,employee,Other,Other,curl,curl,"curl/7.55.1","curl/7.55.1","-","-","-","-","-","-","7.55.1","7.55.1"
"Oct 25, 2022 @ 04:24:53.000",1,1,jNrjDoQBvD32VbPecWgT,"filebeat-8.4.3","-","649c9a49-e1ea-4533-ad46-e8c056c62ca2","649c9a49-e1ea-4533-ad46-e8c056c62ca2","39c39d82-96c8-4ed9-acdf-cfeed4e61a70","39c39d82-96c8-4ed9-acdf-cfeed4e61a70",08316ebfe2f5,08316ebfe2f5,filebeat,filebeat,"8.4.3","8.4.3","1.12.0","1.12.0",web,web,"Oct 25, 2022 @ 04:24:56.380","apache.access","apache.access","Oct 25, 2022 @ 04:24:57.490",event,event,apache,apache,"192.168.170.20 - employee [25/Oct/2022:11:24:53 +0000] ""GET /employee/downloads/backup.exe HTTP/1.1"" 200 26624 ""-"" ""curl/7.55.1""","192.168.170.20 - employee [25/Oct/2022:11:24:53 +0000] ""GET /employee/downloads/backup.exe HTTP/1.1"" 200 26624 ""-"" ""curl/7.55.1""",success,success,access,access,08316ebfe2f5,08316ebfe2f5,GET,GET,"-","-",26KB,200,"1.1","1.1",log,log,"/usr/local/apache2/logs/access.log","/usr/local/apache2/logs/access.log","2,764",apache,apache,"192.168.170.20","192.168.170.20","192.168.170.20","192.168.170.20","beats, beats_input_codec_plain_applied","beats, beats_input_codec_plain_applied",exe,exe,"/employee/downloads/backup.exe","/employee/downloads/backup.exe","/employee/downloads/backup.exe","/employee/downloads/backup.exe",employee,employee,Other,Other,curl,curl,"curl/7.55.1","curl/7.55.1","-","-","-","-","-","-","7.55.1","7.55.1"
"Oct 25, 2022 @ 04:24:07.000",1,1,E9riDoQBvD32VbPewWhD,"filebeat-8.4.3","-","649c9a49-e1ea-4533-ad46-e8c056c62ca2","649c9a49-e1ea-4533-ad46-e8c056c62ca2","39c39d82-96c8-4ed9-acdf-cfeed4e61a70","39c39d82-96c8-4ed9-acdf-cfeed4e61a70",08316ebfe2f5,08316ebfe2f5,filebeat,filebeat,"8.4.3","8.4.3","1.12.0","1.12.0",web,web,"Oct 25, 2022 @ 04:24:11.371","apache.access","apache.access","Oct 25, 2022 @ 04:24:12.480",event,event,apache,apache,"192.168.40.1 - - [25/Oct/2022:11:24:07 +0000] ""GET /favicon.ico HTTP/1.1"" 404 196 ""http://192.168.40.134:8080/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","192.168.40.1 - - [25/Oct/2022:11:24:07 +0000] ""GET /favicon.ico HTTP/1.1"" 404 196 ""http://192.168.40.134:8080/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""",failure,failure,access,access,08316ebfe2f5,08316ebfe2f5,GET,GET,"http://192.168.40.134:8080/","http://192.168.40.134:8080/",196B,404,"1.1","1.1",log,log,"/usr/local/apache2/logs/access.log","/usr/local/apache2/logs/access.log","2,538",apache,apache,"192.168.40.1","192.168.40.1","192.168.40.1","192.168.40.1","beats, beats_input_codec_plain_applied","beats, beats_input_codec_plain_applied",ico,ico,"/favicon.ico","/favicon.ico","/favicon.ico","/favicon.ico","-","-",Other,Other,Chrome,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,10,"106.0.0.0","106.0.0.0"
"Oct 25, 2022 @ 04:24:07.000",1,1,EtriDoQBvD32VbPewWhD,"filebeat-8.4.3","-","649c9a49-e1ea-4533-ad46-e8c056c62ca2","649c9a49-e1ea-4533-ad46-e8c056c62ca2","39c39d82-96c8-4ed9-acdf-cfeed4e61a70","39c39d82-96c8-4ed9-acdf-cfeed4e61a70",08316ebfe2f5,08316ebfe2f5,filebeat,filebeat,"8.4.3","8.4.3","1.12.0","1.12.0",web,web,"Oct 25, 2022 @ 04:24:11.371","apache.access","apache.access","Oct 25, 2022 @ 04:24:12.480",event,event,apache,apache,"192.168.40.1 - - [25/Oct/2022:11:24:07 +0000] ""GET / HTTP/1.1"" 200 4009 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","192.168.40.1 - - [25/Oct/2022:11:24:07 +0000] ""GET / HTTP/1.1"" 200 4009 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""",success,success,access,access,08316ebfe2f5,08316ebfe2f5,GET,GET,"-","-","3.9KB",200,"1.1","1.1",log,log,"/usr/local/apache2/logs/access.log","/usr/local/apache2/logs/access.log","2,094",apache,apache,"192.168.40.1","192.168.40.1","192.168.40.1","192.168.40.1","beats, beats_input_codec_plain_applied","beats, beats_input_codec_plain_applied","-","-","/","/","/","/","-","-",Other,Other,Chrome,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,10,"106.0.0.0","106.0.0.0"
"Oct 25, 2022 @ 04:24:07.000",1,1,FNriDoQBvD32VbPewWhD,"filebeat-8.4.3","-","649c9a49-e1ea-4533-ad46-e8c056c62ca2","649c9a49-e1ea-4533-ad46-e8c056c62ca2","39c39d82-96c8-4ed9-acdf-cfeed4e61a70","39c39d82-96c8-4ed9-acdf-cfeed4e61a70",08316ebfe2f5,08316ebfe2f5,filebeat,filebeat,"8.4.3","8.4.3","1.12.0","1.12.0",web,web,"Oct 25, 2022 @ 04:24:11.371","apache.access","apache.access","Oct 25, 2022 @ 04:24:12.480",event,event,apache,apache,"192.168.40.1 - - [25/Oct/2022:11:24:07 +0000] ""GET /undraw_Business_decisions_re_84ag.png HTTP/1.1"" 200 27793 ""http://192.168.40.134:8080/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","192.168.40.1 - - [25/Oct/2022:11:24:07 +0000] ""GET /undraw_Business_decisions_re_84ag.png HTTP/1.1"" 200 27793 ""http://192.168.40.134:8080/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""",success,success,access,access,08316ebfe2f5,08316ebfe2f5,GET,GET,"http://192.168.40.134:8080/","http://192.168.40.134:8080/","27.1KB",200,"1.1","1.1",log,log,"/usr/local/apache2/logs/access.log","/usr/local/apache2/logs/access.log","2,284",apache,apache,"192.168.40.1","192.168.40.1","192.168.40.1","192.168.40.1","beats, beats_input_codec_plain_applied","beats, beats_input_codec_plain_applied",png,png,"/undraw_Business_decisions_re_84ag.png","/undraw_Business_decisions_re_84ag.png","/undraw_Business_decisions_re_84ag.png","/undraw_Business_decisions_re_84ag.png","-","-",Other,Other,Chrome,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,10,"106.0.0.0","106.0.0.0"
"Oct 25, 2022 @ 04:23:53.000",1,1,AtriDoQBvD32VbPehmiq,"filebeat-8.4.3","-","649c9a49-e1ea-4533-ad46-e8c056c62ca2","649c9a49-e1ea-4533-ad46-e8c056c62ca2","39c39d82-96c8-4ed9-acdf-cfeed4e61a70","39c39d82-96c8-4ed9-acdf-cfeed4e61a70",08316ebfe2f5,08316ebfe2f5,filebeat,filebeat,"8.4.3","8.4.3","1.12.0","1.12.0",web,web,"Oct 25, 2022 @ 04:23:56.365","apache.access","apache.access","Oct 25, 2022 @ 04:23:57.481",event,event,apache,apache,"192.168.170.110 - - [25/Oct/2022:11:23:53 +0000] ""GET /undraw_Business_decisions_re_84ag.png HTTP/1.1"" 200 27793 ""http://192.168.169.100/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0""","192.168.170.110 - - [25/Oct/2022:11:23:53 +0000] ""GET /undraw_Business_decisions_re_84ag.png HTTP/1.1"" 200 27793 ""http://192.168.169.100/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0""",success,success,access,access,08316ebfe2f5,08316ebfe2f5,GET,GET,"http://192.168.169.100/","http://192.168.169.100/","27.1KB",200,"1.1","1.1",log,log,"/usr/local/apache2/logs/access.log","/usr/local/apache2/logs/access.log","1,678",apache,apache,"192.168.170.110","192.168.170.110","192.168.170.110","192.168.170.110","beats, beats_input_codec_plain_applied","beats, beats_input_codec_plain_applied",png,png,"/undraw_Business_decisions_re_84ag.png","/undraw_Business_decisions_re_84ag.png","/undraw_Business_decisions_re_84ag.png","/undraw_Business_decisions_re_84ag.png","-","-",Other,Other,Firefox,Firefox,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","Windows 10","Windows 10",Windows,Windows,10,10,"106.0.","106.0."
"Oct 25, 2022 @ 04:23:53.000",1,1,ANriDoQBvD32VbPehmip,"filebeat-8.4.3","-","649c9a49-e1ea-4533-ad46-e8c056c62ca2","649c9a49-e1ea-4533-ad46-e8c056c62ca2","39c39d82-96c8-4ed9-acdf-cfeed4e61a70","39c39d82-96c8-4ed9-acdf-cfeed4e61a70",08316ebfe2f5,08316ebfe2f5,filebeat,filebeat,"8.4.3","8.4.3","1.12.0","1.12.0",web,web,"Oct 25, 2022 @ 04:23:56.365","apache.access","apache.access","Oct 25, 2022 @ 04:23:57.481",event,event,apache,apache,"192.168.170.110 - - [25/Oct/2022:11:23:53 +0000] ""GET /favicon.ico HTTP/1.1"" 404 196 ""http://192.168.169.100/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0""","192.168.170.110 - - [25/Oct/2022:11:23:53 +0000] ""GET /favicon.ico HTTP/1.1"" 404 196 ""http://192.168.169.100/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0""",failure,failure,access,access,08316ebfe2f5,08316ebfe2f5,GET,GET,"http://192.168.169.100/","http://192.168.169.100/",196B,404,"1.1","1.1",log,log,"/usr/local/apache2/logs/access.log","/usr/local/apache2/logs/access.log","1,900",apache,apache,"192.168.170.110","192.168.170.110","192.168.170.110","192.168.170.110","beats, beats_input_codec_plain_applied","beats, beats_input_codec_plain_applied",ico,ico,"/favicon.ico","/favicon.ico","/favicon.ico","/favicon.ico","-","-",Other,Other,Firefox,Firefox,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","Windows 10","Windows 10",Windows,Windows,10,10,"106.0.","106.0."
