"@timestamp",message,"user.effective.name","related.user","user.name","log.file.path","process.name"
"Oct 24, 2022 @ 17:02:39.320","cd /home/resch/.scripts","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 17:02:39.320","./attack_chain.sh","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 17:02:39.320",ls,"-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 17:02:39.320",exit,"-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 17:02:39.000","Disconnected from user resch 172.18.0.3 port 38328","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 17:02:39.000","Received disconnect from 172.18.0.3 port 38328:11: disconnected by user","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 17:02:38.000","pam_unix(su:session): session closed for user root","-",root,root,"/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","Successful su for root by root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","+ /dev/pts/0 root:root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","pam_unix(su:session): session opened for user root by resch(uid=0)",root,"resch, root",resch,"/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:36:18.000","Connection closed by authenticating user resch 172.18.0.3 port 38322 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 16:33:59.000","Connection closed by authenticating user resch 172.18.0.3 port 38288 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 16:33:18.000","Received disconnect from 172.17.0.1 port 41166:11: disconnected by user","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 16:33:18.000","Disconnected from user vagrant 172.17.0.1 port 41166","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 16:33:10.768","service auditbeat restart","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 16:33:10.768","service auditbeat status","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 16:33:10.768","auditbeat setup -e","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 16:33:10.768","service auditbeat stop","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 16:33:10.768","service auditbeat start","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 16:33:10.768","auditbeat setup -e","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 16:33:10.768",exit,"-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 16:33:10.731","nano /etc/auditbeat/auditbeat.yml","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 16:33:09.000","pam_unix(su:session): session closed for user root","-",root,root,"/var/log/auth.log",su
"Oct 24, 2022 @ 16:29:47.000","pam_unix(runuser:session): session closed for user root","-",root,root,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 16:29:46.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",runuser
"Oct 24, 2022 @ 16:29:46.000","pam_unix(runuser:session): session opened for user root by vagrant(uid=0)",root,"vagrant, root",vagrant,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 16:28:54.000","pam_unix(runuser:session): session closed for user root","-",root,root,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 16:14:39.000","pam_unix(runuser:session): session opened for user root by vagrant(uid=0)",root,"vagrant, root",vagrant,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 16:14:39.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",runuser
"Oct 24, 2022 @ 16:13:57.000","Successful su for root by root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:13:57.000","+ /dev/pts/0 root:root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:13:57.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:13:57.000","pam_unix(su:session): session opened for user root by vagrant(uid=0)",root,"vagrant, root",vagrant,"/var/log/auth.log",su
"Oct 24, 2022 @ 16:13:57.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 15:59:55.000","Connection closed by 172.18.0.3 port 37724 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 15:59:54.000","Connection closed by 172.18.0.3 port 37718 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 15:59:54.000","Unable to negotiate with 172.18.0.3 port 37720: no matching host key type found. Their offer: ecdsa-sha2-nistp384 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 15:59:54.000","Unable to negotiate with 172.18.0.3 port 37722: no matching host key type found. Their offer: ecdsa-sha2-nistp521 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 15:59:53.000","Unable to negotiate with 172.18.0.3 port 37710: no matching host key type found. Their offer: ssh-dss [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 15:59:53.000","Connection closed by 172.18.0.3 port 37712 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 15:59:52.000","Protocol major versions differ for 172.18.0.3 port 37696: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-NmapNSE_1.0","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 15:59:52.000","Protocol major versions differ for 172.18.0.3 port 37708: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-Nmap-SSH1-Hostkey","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 15:41:52.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:38:13.000","pam_unix(runuser:session): session closed for user root","-",root,root,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 15:37:41.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",runuser
"Oct 24, 2022 @ 15:37:41.000","pam_unix(runuser:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",runuser
"Oct 24, 2022 @ 15:37:39.000","pam_unix(runuser:session): session closed for user root","-",root,root,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 15:37:36.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",runuser
"Oct 24, 2022 @ 15:37:36.000","pam_unix(runuser:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",runuser
"Oct 24, 2022 @ 15:37:36.000","pam_unix(runuser:session): session closed for user root","-",root,root,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 15:37:36.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",runuser
"Oct 24, 2022 @ 15:37:36.000","pam_unix(runuser:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",runuser
"Oct 24, 2022 @ 15:36:08.000","changed password expiry for postfix","-","-","-","/var/log/auth.log",chage
"Oct 24, 2022 @ 15:36:08.000","group added to /etc/group: name=postdrop, GID=110","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 15:36:08.000","group added to /etc/gshadow: name=postdrop","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 15:36:07.000","change user 'postfix' password","-","-","-","/var/log/auth.log",usermod
"Oct 24, 2022 @ 15:36:06.000","group added to /etc/gshadow: name=postfix","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 15:36:05.000","group added to /etc/group: name=postfix, GID=109","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 15:36:01.000","group added to /etc/gshadow: name=ssl-cert","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 15:36:00.000","group added to /etc/group: name=ssl-cert, GID=108","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 15:34:21.000","Successful su for root by root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 15:34:21.000","+ ??? root:root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 15:34:21.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 15:34:21.000","pam_unix(su:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",su
"Oct 24, 2022 @ 15:34:21.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 15:34:21.000","pam_unix(su:session): session closed for user root","-",root,root,"/var/log/auth.log",su
"Oct 24, 2022 @ 15:32:21.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:32:11.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:32:09.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:26:31.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:26:31.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:57.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:57.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:51.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:51.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:44.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:44.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:44.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:44.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:26.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:26.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:18.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:18.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:09.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:25:09.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:24:56.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:24:56.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:24:22.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:24:22.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:24:11.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:24:11.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:24:06.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:24:06.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:23:53.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 15:23:53.000","pam_unix(sudo:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",sudo
"Oct 24, 2022 @ 12:43:06.499","./attack_chain.sh","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","ls -la","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","tail fndd.lock64 ","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","crontab -l","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","ls /root/Maildir","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","ls /root/Maildir/tmp","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","ls /root/Maildir/new","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","ls /root/Maildir/cur","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499",clear,"-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","find / -name *.lock64","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","cd ../../","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.499","find / -name *.lock64","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.498",whoami,"-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.498",pwd,"-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.498","cd /home/resch/.scripts","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.498","ls -la","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 12:43:06.000","Received disconnect from 172.18.0.3 port 35798:11: disconnected by user","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 12:43:06.000","Disconnected from user resch 172.18.0.3 port 35798","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 11:35:30.331","cat /etc/crontab","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 11:35:30.331",exit,"-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 11:35:29.000","pam_unix(su:session): session closed for user root","-",root,root,"/var/log/auth.log",su
"Oct 24, 2022 @ 11:35:14.000","Successful su for root by root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:35:14.000","+ /dev/pts/0 root:root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:35:14.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:35:14.000","pam_unix(su:session): session opened for user root by vagrant(uid=0)",root,"vagrant, root",vagrant,"/var/log/auth.log",su
"Oct 24, 2022 @ 11:35:14.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:35:10.000","pam_unix(su:session): session closed for user resch","-",resch,resch,"/var/log/auth.log",su
"Oct 24, 2022 @ 11:32:36.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:32:35.000","Successful su for resch by vagrant","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:32:35.000","+ /dev/pts/0 vagrant:resch","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:32:35.000","pam_unix(su:session): session opened for user resch by vagrant(uid=1000)",resch,"vagrant, resch",vagrant,"/var/log/auth.log",su
"Oct 24, 2022 @ 11:32:00.000","pam_authenticate: Authentication failure","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:32:00.000","FAILED su for resch by vagrant","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:32:00.000","- /dev/pts/0 vagrant:resch","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:31:58.000","pam_unix(su:auth): authentication failure; logname=vagrant uid=1000 euid=0 tty=/dev/pts/0 ruser=vagrant rhost=  user=resch","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:27:38.000","Unable to negotiate with 172.18.0.3 port 35552: no matching host key type found. Their offer: ecdsa-sha2-nistp384 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 11:27:38.000","Unable to negotiate with 172.18.0.3 port 35554: no matching host key type found. Their offer: ecdsa-sha2-nistp521 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 11:27:38.000","Connection closed by 172.18.0.3 port 35556 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 11:27:37.000","Unable to negotiate with 172.18.0.3 port 35546: no matching host key type found. Their offer: ssh-dss [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 11:27:37.000","Connection closed by 172.18.0.3 port 35548 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 11:27:37.000","Connection closed by 172.18.0.3 port 35550 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 11:27:36.000","Protocol major versions differ for 172.18.0.3 port 35536: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-NmapNSE_1.0","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 11:27:36.000","Protocol major versions differ for 172.18.0.3 port 35544: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-Nmap-SSH1-Hostkey","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 11:15:19.000","pam_unix(sudo:session): session closed for user root","-",root,root,"/var/log/auth.log",sudo
"Oct 24, 2022 @ 11:13:11.000","pam_unix(runuser:session): session closed for user root","-",root,root,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 11:12:48.000","pam_unix(runuser:session): session closed for user root","-",root,root,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 11:12:48.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",runuser
"Oct 24, 2022 @ 11:12:48.000","pam_unix(runuser:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",runuser
"Oct 24, 2022 @ 11:12:46.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",runuser
"Oct 24, 2022 @ 11:12:46.000","pam_unix(runuser:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",runuser
"Oct 24, 2022 @ 11:12:46.000","pam_unix(runuser:session): session closed for user root","-",root,root,"/var/log/auth.log",runuser
"Oct 24, 2022 @ 11:12:46.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",runuser
"Oct 24, 2022 @ 11:12:46.000","pam_unix(runuser:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",runuser
"Oct 24, 2022 @ 11:11:17.000","group added to /etc/group: name=postdrop, GID=110","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 11:11:17.000","group added to /etc/gshadow: name=postdrop","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 11:11:16.000","changed password expiry for postfix","-","-","-","/var/log/auth.log",chage
"Oct 24, 2022 @ 11:11:15.000","change user 'postfix' password","-","-","-","/var/log/auth.log",usermod
"Oct 24, 2022 @ 11:11:14.000","group added to /etc/group: name=postfix, GID=109","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 11:11:14.000","group added to /etc/gshadow: name=postfix","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 11:11:06.000","group added to /etc/gshadow: name=ssl-cert","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 11:11:05.000","group added to /etc/group: name=ssl-cert, GID=108","-","-","-","/var/log/auth.log",groupadd
"Oct 24, 2022 @ 11:09:28.000","Successful su for root by root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:09:28.000","+ ??? root:root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:09:28.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 11:09:28.000","pam_unix(su:session): session opened for user root by (uid=0)",root,root,"(empty)","/var/log/auth.log",su
"Oct 24, 2022 @ 11:09:28.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory","-","-","-","/var/log/auth.log",su
