"@timestamp",message,"process.name","user.effective.name","system.auth.sudo.user","system.auth.sudo.error","system.auth.sudo.command"
"Oct 25, 2022 @ 01:00:05.000","Successful su for root by root",su,"-","-","-","-"
"Oct 25, 2022 @ 01:00:05.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 25, 2022 @ 01:00:05.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 25, 2022 @ 01:00:05.000","pam_unix(su:session): session opened for user root by (uid=0)",su,root,"-","-","-"
"Oct 25, 2022 @ 01:00:05.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 25, 2022 @ 00:25:53.000","Disconnected from user resch 172.18.0.3 port 46538",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:25:53.000","Received disconnect from 172.18.0.3 port 46538:11: disconnected by user",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:25:49.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 25, 2022 @ 00:07:47.000","Successful su for root by root",su,"-","-","-","-"
"Oct 25, 2022 @ 00:07:47.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 25, 2022 @ 00:07:47.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 25, 2022 @ 00:07:47.000","pam_unix(su:session): session opened for user root by resch(uid=0)",su,root,"-","-","-"
"Oct 25, 2022 @ 00:07:47.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 25, 2022 @ 00:00:57.000","Connection closed by 172.18.0.3 port 46460 [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:57.000","Unable to negotiate with 172.18.0.3 port 46462: no matching host key type found. Their offer: ecdsa-sha2-nistp384 [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:57.000","Unable to negotiate with 172.18.0.3 port 46464: no matching host key type found. Their offer: ecdsa-sha2-nistp521 [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:57.000","Connection closed by 172.18.0.3 port 46466 [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:56.000","Protocol major versions differ for 172.18.0.3 port 46450: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-NmapNSE_1.0",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:56.000","Protocol major versions differ for 172.18.0.3 port 46454: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-Nmap-SSH1-Hostkey",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:56.000","Unable to negotiate with 172.18.0.3 port 46456: no matching host key type found. Their offer: ssh-dss [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:56.000","Connection closed by 172.18.0.3 port 46458 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 23:48:06.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:46:16.000","pam_unix(runuser:session): session closed for user root",runuser,"-","-","-","-"
"Oct 24, 2022 @ 23:45:50.000","pam_unix(runuser:session): session closed for user root",runuser,"-","-","-","-"
"Oct 24, 2022 @ 23:45:50.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",runuser,"-","-","-","-"
"Oct 24, 2022 @ 23:45:50.000","pam_unix(runuser:session): session opened for user root by (uid=0)",runuser,root,"-","-","-"
"Oct 24, 2022 @ 23:45:48.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",runuser,"-","-","-","-"
"Oct 24, 2022 @ 23:45:48.000","pam_unix(runuser:session): session opened for user root by (uid=0)",runuser,root,"-","-","-"
"Oct 24, 2022 @ 23:45:48.000","pam_unix(runuser:session): session closed for user root",runuser,"-","-","-","-"
"Oct 24, 2022 @ 23:45:48.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",runuser,"-","-","-","-"
"Oct 24, 2022 @ 23:45:48.000","pam_unix(runuser:session): session opened for user root by (uid=0)",runuser,root,"-","-","-"
"Oct 24, 2022 @ 23:44:35.000","changed password expiry for postfix",chage,"-","-","-","-"
"Oct 24, 2022 @ 23:44:35.000","group added to /etc/group: name=postdrop, GID=110",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 23:44:35.000","group added to /etc/gshadow: name=postdrop",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 23:44:34.000","change user 'postfix' password",usermod,"-","-","-","-"
"Oct 24, 2022 @ 23:44:33.000","group added to /etc/group: name=postfix, GID=109",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 23:44:33.000","group added to /etc/gshadow: name=postfix",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 23:44:27.000","group added to /etc/group: name=ssl-cert, GID=108",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 23:44:27.000","group added to /etc/gshadow: name=ssl-cert",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 23:43:05.000","Successful su for root by root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:43:05.000","+ ??? root:root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:43:05.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 24, 2022 @ 23:43:05.000","pam_unix(su:session): session opened for user root by (uid=0)",su,root,"-","-","-"
"Oct 24, 2022 @ 23:43:05.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 24, 2022 @ 23:43:05.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:41:13.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:41:04.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:41:04.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:38:40.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:38:40.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:38:10.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:38:10.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:38:03.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:38:03.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:57.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:57.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:56.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:56.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:36.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:36.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:30.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:30.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:25.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:25.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:19.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:19.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:36:52.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:36:52.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:36:43.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:36:43.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:36:36.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:36:36.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:36:26.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:36:26.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:23:56.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","Successful su for root by root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","pam_unix(su:session): session opened for user root by resch(uid=0)",su,root,"-","-","-"
"Oct 24, 2022 @ 23:09:41.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:07:51.000","Successful su for root by root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:07:51.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:07:51.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 24, 2022 @ 23:07:51.000","pam_unix(su:session): session opened for user root by resch(uid=0)",su,root,"-","-","-"
"Oct 24, 2022 @ 23:07:51.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 24, 2022 @ 23:05:19.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:04:05.000","Successful su for root by root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:04:05.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:04:05.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 24, 2022 @ 23:04:05.000","pam_unix(su:session): session opened for user root by resch(uid=0)",su,root,"-","-","-"
"Oct 24, 2022 @ 23:04:05.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 24, 2022 @ 22:18:17.000","Successful su for root by root",su,"-","-","-","-"
"Oct 24, 2022 @ 22:18:17.000","+ /dev/pts/1 root:root",su,"-","-","-","-"
"Oct 24, 2022 @ 22:18:17.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 24, 2022 @ 22:18:17.000","pam_unix(su:session): session opened for user root by vagrant(uid=0)",su,root,"-","-","-"
"Oct 24, 2022 @ 22:18:17.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 24, 2022 @ 22:17:39.000","-",sudo,root,root,"user NOT in sudoers","/bin/bash"
"Oct 24, 2022 @ 22:17:32.000","-",sudo,root,root,"user NOT in sudoers","/bin/su"
"Oct 24, 2022 @ 22:16:34.000","Connection closed by authenticating user root 172.18.0.3 port 44712 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:16:32.000","Connection closed by authenticating user root 172.18.0.3 port 44710 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:16:30.000","Connection closed by authenticating user root 172.18.0.3 port 44706 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:16:27.000","Connection closed by authenticating user root 172.18.0.3 port 44704 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:16:24.000","Connection closed by authenticating user root 172.18.0.3 port 44700 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:13:17.000","Connection closed by 172.18.0.3 port 44634 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:13:17.000","Connection closed by 172.18.0.3 port 44636 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:13:17.000","Unable to negotiate with 172.18.0.3 port 44638: no matching host key type found. Their offer: ecdsa-sha2-nistp384 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:13:17.000","Unable to negotiate with 172.18.0.3 port 44640: no matching host key type found. Their offer: ecdsa-sha2-nistp521 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:13:17.000","Connection closed by 172.18.0.3 port 44648 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:13:16.000","Protocol major versions differ for 172.18.0.3 port 44622: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-NmapNSE_1.0",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:13:16.000","Protocol major versions differ for 172.18.0.3 port 44630: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-Nmap-SSH1-Hostkey",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:13:16.000","Unable to negotiate with 172.18.0.3 port 44632: no matching host key type found. Their offer: ssh-dss [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 22:01:19.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:59:07.000","pam_unix(runuser:session): session closed for user root",runuser,"-","-","-","-"
"Oct 24, 2022 @ 21:58:51.000","pam_unix(runuser:session): session closed for user root",runuser,"-","-","-","-"
"Oct 24, 2022 @ 21:58:51.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",runuser,"-","-","-","-"
"Oct 24, 2022 @ 21:58:51.000","pam_unix(runuser:session): session opened for user root by (uid=0)",runuser,root,"-","-","-"
"Oct 24, 2022 @ 21:58:49.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",runuser,"-","-","-","-"
"Oct 24, 2022 @ 21:58:49.000","pam_unix(runuser:session): session opened for user root by (uid=0)",runuser,root,"-","-","-"
"Oct 24, 2022 @ 21:58:49.000","pam_unix(runuser:session): session closed for user root",runuser,"-","-","-","-"
"Oct 24, 2022 @ 21:58:49.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",runuser,"-","-","-","-"
"Oct 24, 2022 @ 21:58:49.000","pam_unix(runuser:session): session opened for user root by (uid=0)",runuser,root,"-","-","-"
"Oct 24, 2022 @ 21:57:20.000","group added to /etc/group: name=postdrop, GID=110",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 21:57:20.000","group added to /etc/gshadow: name=postdrop",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 21:57:19.000","change user 'postfix' password",usermod,"-","-","-","-"
"Oct 24, 2022 @ 21:57:19.000","changed password expiry for postfix",chage,"-","-","-","-"
"Oct 24, 2022 @ 21:57:18.000","group added to /etc/group: name=postfix, GID=109",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 21:57:18.000","group added to /etc/gshadow: name=postfix",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 21:57:13.000","group added to /etc/group: name=ssl-cert, GID=108",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 21:57:13.000","group added to /etc/gshadow: name=ssl-cert",groupadd,"-","-","-","-"
"Oct 24, 2022 @ 21:55:39.000","Successful su for root by root",su,"-","-","-","-"
"Oct 24, 2022 @ 21:55:39.000","+ ??? root:root",su,"-","-","-","-"
"Oct 24, 2022 @ 21:55:39.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 24, 2022 @ 21:55:39.000","pam_unix(su:session): session opened for user root by (uid=0)",su,root,"-","-","-"
"Oct 24, 2022 @ 21:55:39.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 24, 2022 @ 21:55:39.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 24, 2022 @ 21:53:45.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:53:32.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:53:31.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:47:57.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:47:56.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:47:24.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:47:24.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:47:18.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:47:18.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:47:13.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:47:13.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:47:13.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:47:13.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:56.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:56.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:50.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:50.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:45.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:45.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:39.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:39.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:07.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:07.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:45:59.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:45:59.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:45:54.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:45:54.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:45:46.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:45:46.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
